date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:36:50	80974/80974	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202024%2001:36:50%20GMT	https://sites.google.com/view/caidenwonline	C:/My%20Web%20Sites/testwebsitecopy/sites.google.com/view/caidenwonline.html	(from )
21:36:51	77/77	---MCZ	200	added ('OK')	text/plain	date:Fri,%2006%20Sep%202024%2001:36:50%20GMT	https://sites.google.com/robots.txt		(from )
21:36:51	15014/15014	---M--	200	added ('OK')	text/javascript	etag:%220c4573e276c85327%22	https://apis.google.com/js/client.js?onload=gapiLoaded	C:/My%20Web%20Sites/testwebsitecopy/apis.google.com/js/clientc932.js	(from https://sites.google.com/view/caidenwonline)
21:36:52	2766301/2766301	---M--	200	added ('OK')	image/png	date:Thu,%2002%20Nov%202023%2022:48:00%20GMT	https://ssl.gstatic.com/atari/images/impression-header.png	C:/My%20Web%20Sites/testwebsitecopy/ssl.gstatic.com/atari/images/impression-header.png	(from https://sites.google.com/view/caidenwonline)
21:36:52	81008/81008	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202024%2001:36:52%20GMT	https://sites.google.com/view/caidenwonline/home	C:/My%20Web%20Sites/testwebsitecopy/sites.google.com/view/caidenwonline/home.html	(from https://sites.google.com/view/caidenwonline)
21:36:52	65344/65344	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202024%2001:36:52%20GMT	https://sites.google.com/view/caidenwonline/home/why-vote	C:/My%20Web%20Sites/testwebsitecopy/sites.google.com/view/caidenwonline/home/why-vote.html	(from https://sites.google.com/view/caidenwonline)
21:36:52	65262/65262	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202024%2001:36:52%20GMT	https://sites.google.com/view/caidenwonline/home/why-me	C:/My%20Web%20Sites/testwebsitecopy/sites.google.com/view/caidenwonline/home/why-me.html	(from https://sites.google.com/view/caidenwonline)
21:36:53	67416/67416	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202024%2001:36:53%20GMT	https://sites.google.com/view/caidenwonline/home/fact-of-the-day	C:/My%20Web%20Sites/testwebsitecopy/sites.google.com/view/caidenwonline/home/fact-of-the-day.html	(from https://sites.google.com/view/caidenwonline)
21:36:53	74482/74482	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202024%2001:36:53%20GMT	https://sites.google.com/view/caidenwonline/home/coding-projects	C:/My%20Web%20Sites/testwebsitecopy/sites.google.com/view/caidenwonline/home/coding-projects.html	(from https://sites.google.com/view/caidenwonline)
21:36:54	69752/69752	---MCZ	200	added ('OK')	text/html	date:Fri,%2006%20Sep%202024%2001:36:54%20GMT	https://sites.google.com/view/caidenwonline/home/about-me	C:/My%20Web%20Sites/testwebsitecopy/sites.google.com/view/caidenwonline/home/about-me.html	(from https://sites.google.com/view/caidenwonline)
21:36:54	1258/1258	---M--	200	added ('OK')	image/png	date:Tue,%2022%20Oct%202019%2018:30:00%20GMT	https://www.google.com/images/icons/product/drive-32.png	C:/My%20Web%20Sites/testwebsitecopy/www.google.com/images/icons/product/drive-32.png	(from https://sites.google.com/view/caidenwonline/home/fact-of-the-day)
